Prediction,Target,log,Final
"public class A { @ Override public void visit ( String key , Object value ) { log . debug ( ""Load annotation attribute {} = {} ({})"" , name , value , value . getClass ( ) . getName ( ) ) ; if ( ""ordinal"" . equals ( name ) ) { extensionInfo . ordinal = Integer . parseInt ( value . toString ( ) ) ; } else if ( ""plugins"" . equals ( name ) ) { if ( value instanceof String ) { log . debug ( ""Found plugins {}"" , Arrays . toString ( ( String ) value ) ) ; extensionInfo . plugins . add ( ( String ) value ) ; } else if ( value instanceof String [ ] ) { log . debug ( ""Found plugins {}"" , Arrays . toString ( ( String [ ] ) value ) ) ; extensionInfo . plugins . addAll ( Arrays . asList ( ( String [ ] ) value ) ) ; } else { log . debug ( ""Found plugin {}"" , value . toString ( ) ) ; extensionInfo . plugins . add ( value . toString ( ) ) ; } } else { String pointClassName = ( ( Type ) value ) . getClassName ( ) ; log . debug ( ""Found point "" + pointClassName ) ; extensionInfo . points . add ( pointClassName ) ; } super . visit ( key , value ) ; } }","public class A { @ Override public void visit ( String key , Object value ) { log . debug ( ""Load annotation attribute {} = {} ({})"" , name , value , value . getClass ( ) . getName ( ) ) ; if ( ""ordinal"" . equals ( name ) ) { extensionInfo . ordinal = Integer . parseInt ( value . toString ( ) ) ; } else if ( ""plugins"" . equals ( name ) ) { if ( value instanceof String ) { log . debug ( ""Found plugin {}"" , value ) ; extensionInfo . plugins . add ( ( String ) value ) ; } else if ( value instanceof String [ ] ) { log . debug ( ""Found plugins {}"" , Arrays . toString ( ( String [ ] ) value ) ) ; extensionInfo . plugins . addAll ( Arrays . asList ( ( String [ ] ) value ) ) ; } else { log . debug ( ""Found plugin {}"" , value . toString ( ) ) ; extensionInfo . plugins . add ( value . toString ( ) ) ; } } else { String pointClassName = ( ( Type ) value ) . getClassName ( ) ; log . debug ( ""Found point "" + pointClassName ) ; extensionInfo . points . add ( pointClassName ) ; } super . visit ( key , value ) ; } }","log . debug ( ""Found plugin {}"" , value ) ;",Same Information
"public class A { @ POST @ Path ( ""/transfers/reply"" ) @ Consumes ( MediaType . APPLICATION_XML ) @ Produces ( MediaType . APPLICATION_JSON ) @ Secured ( permission = TRANSFERS_REPLY , description = ""Start transfer reply workflow."" ) public Response transferReply ( InputStream transferReply ) { try ( AccessInternalClient client = accessInternalClientFactory . getClient ( ) ) { return client . startTransferReplyWorkflow ( transferReply ) . toResponse ( ) ; } catch ( Exception e ) { logger . error ( ""Exception during startTransferReplyWorkflow"" , e ) ; return Response . status ( Status . INTERNAL_SERVER_ERROR ) . entity ( getErrorEntity ( Status . INTERNAL_SERVER_ERROR , e . getLocalizedMessage ( ) ) ) . build ( ) ; } } }","public class A { @ POST @ Path ( ""/transfers/reply"" ) @ Consumes ( MediaType . APPLICATION_XML ) @ Produces ( MediaType . APPLICATION_JSON ) @ Secured ( permission = TRANSFERS_REPLY , description = ""Start transfer reply workflow."" ) public Response transferReply ( InputStream transferReply ) { try ( AccessInternalClient client = accessInternalClientFactory . getClient ( ) ) { return client . startTransferReplyWorkflow ( transferReply ) . toResponse ( ) ; } catch ( Exception e ) { LOGGER . error ( e ) ; return Response . status ( Status . INTERNAL_SERVER_ERROR ) . entity ( getErrorEntity ( Status . INTERNAL_SERVER_ERROR , e . getLocalizedMessage ( ) ) ) . build ( ) ; } } }",LOGGER . error ( e ) ;,Same Information
"public class A { public static void main ( String [ ] args ) throws Exception { String webappsPath = args [ 0 ] ; int port = Integer . parseInt ( args [ 1 ] ) ; File dataDir = Files . createTempDir ( ) ; dataDir . deleteOnExit ( ) ; Tomcat tomcat = new Tomcat ( ) ; tomcat . setBaseDir ( dataDir . getAbsolutePath ( ) ) ; tomcat . setPort ( port ) ; tomcat . getConnector ( ) . setAttribute ( ""maxThreads"" , ""1000"" ) ; tomcat . addWebapp ( ""/"" , new File ( webappsPath ) . getAbsolutePath ( ) ) ; log . info ( ""-----------------------------------------------------------------"" ) ; log . info ( ""Starting webapps-"" ) ; log . info ( ""-----------------------------------------------------------------"" ) ; tomcat . start ( ) ; while ( true ) { Thread . sleep ( 1000 ) ; } } }","public class A { public static void main ( String [ ] args ) throws Exception { String webappsPath = args [ 0 ] ; int port = Integer . parseInt ( args [ 1 ] ) ; File dataDir = Files . createTempDir ( ) ; dataDir . deleteOnExit ( ) ; Tomcat tomcat = new Tomcat ( ) ; tomcat . setBaseDir ( dataDir . getAbsolutePath ( ) ) ; tomcat . setPort ( port ) ; tomcat . getConnector ( ) . setAttribute ( ""maxThreads"" , ""1000"" ) ; tomcat . addWebapp ( ""/"" , new File ( webappsPath ) . getAbsolutePath ( ) ) ; log . info ( ""-----------------------------------------------------------------"" ) ; log . info ( ""Starting Tomcat port {} dir {}"" , port , webappsPath ) ; log . info ( ""-----------------------------------------------------------------"" ) ; tomcat . start ( ) ; while ( true ) { Thread . sleep ( 1000 ) ; } } }","log . info ( ""Starting Tomcat port {} dir {}"" , port , webappsPath ) ;",Meaningful
"public class A { @ Override public void saveKeyStore ( KeyStore keyStore ) throws Exception { File samlKeyStoreFile = new File ( getSamlKeyStorePath ( ) ) ; samlKeyStoreFile = samlKeyStoreFile . getAbsoluteFile ( ) ; if ( ! samlKeyStoreFile . exists ( ) ) { if ( _log . isInfoEnabled ( ) ) { _log . info ( ""Adding SamlKeyStoreFile to the keystore file"" ) ; } File parentDir = samlKeyStoreFile . getParentFile ( ) ; if ( ! parentDir . exists ( ) ) { parentDir . mkdirs ( ) ; } } monitorFile ( samlKeyStoreFile ) ; String samlKeyStorePassword = getSamlKeyStorePassword ( ) ; try ( FileOutputStream fileOutputStream = new FileOutputStream ( samlKeyStoreFile ) ) { _keyStore . store ( fileOutputStream , samlKeyStorePassword . toCharArray ( ) ) ; } } }","public class A { @ Override public void saveKeyStore ( KeyStore keyStore ) throws Exception { File samlKeyStoreFile = new File ( getSamlKeyStorePath ( ) ) ; samlKeyStoreFile = samlKeyStoreFile . getAbsoluteFile ( ) ; if ( ! samlKeyStoreFile . exists ( ) ) { if ( _log . isInfoEnabled ( ) ) { _log . info ( ""Creating a new SAML keystore at "" + samlKeyStoreFile ) ; } File parentDir = samlKeyStoreFile . getParentFile ( ) ; if ( ! parentDir . exists ( ) ) { parentDir . mkdirs ( ) ; } } monitorFile ( samlKeyStoreFile ) ; String samlKeyStorePassword = getSamlKeyStorePassword ( ) ; try ( FileOutputStream fileOutputStream = new FileOutputStream ( samlKeyStoreFile ) ) { _keyStore . store ( fileOutputStream , samlKeyStorePassword . toCharArray ( ) ) ; } } }","_log . info ( ""Creating a new SAML keystore at "" + samlKeyStoreFile ) ;",Meaningful
"public class A { public void disconnect ( ) { if ( client != null ) { try { client . close ( ) ; } catch ( IOException e ) { LOG . error ( ""Error closing client."" , e ) ; } } } }","public class A { public void disconnect ( ) { if ( client != null ) { try { client . close ( ) ; } catch ( IOException e ) { logger . error ( ""{}"" , e . getLocalizedMessage ( ) , e ) ; } } } }","logger . error ( ""{}"" , e . getLocalizedMessage ( ) , e ) ;",Meaningful
"public class A { @ Override public T localeResolver ( LocaleResolver localeResolver ) { if ( LOG . isDebugEnabled ( ) ) { if ( localeResolver != null ) { LOG . debug ( ""Setting locale resolver : {}"" , localeResolver ) ; } } this . localeResolver = localeResolver ; return thisAsT ( ) ; } }","public class A { @ Override public T localeResolver ( LocaleResolver localeResolver ) { if ( LOG . isDebugEnabled ( ) ) { if ( localeResolver != null ) { LOG . debug ( ""Setting custom LocaleResolver of type "" + localeResolver . getClass ( ) . getName ( ) ) ; } } this . localeResolver = localeResolver ; return thisAsT ( ) ; } }","LOG . debug ( ""Setting custom LocaleResolver of type "" + localeResolver . getClass ( ) . getName ( ) ) ;",Meaningful
"public class A { public void setHireDate ( NSTimestamp value ) { if ( _Employee . LOG . isDebugEnabled ( ) ) { _Employee . LOG . debug ( ""updating dates from "" + value + "" to "" + value ) ; } takeStoredValueForKey ( value , _Employee . HIRE_DATE_KEY ) ; } }","public class A { public void setHireDate ( NSTimestamp value ) { if ( _Employee . LOG . isDebugEnabled ( ) ) { _Employee . LOG . debug ( ""updating hireDate from "" + hireDate ( ) + "" to "" + value ) ; } takeStoredValueForKey ( value , _Employee . HIRE_DATE_KEY ) ; } }","_Employee . LOG . debug ( ""updating hireDate from "" + hireDate ( ) + "" to "" + value ) ;",Meaningful
"public class A { @ Override public boolean initMethod ( final PluginAnnotation < T > pluginAnnotation ) { LOGGER . debug ( ""Init {}"" , pluginAnnotation . getPlugin ( ) . getName ( ) ) ; ClassLoader classLoader = pluginManager . getPluginRegistry ( ) . getAppClassLoader ( pluginAnnotation . getPlugin ( ) ) ; try { registerResources ( pluginAnnotation , classLoader ) ; } catch ( IOException e ) { LOGGER . error ( ""Unable to register resources for annotation {} on method {} class {}"" , e , pluginAnnotation . getAnnotation ( ) , pluginAnnotation . getMethod ( ) . getName ( ) , pluginAnnotation . getMethod ( ) . getDeclaringClass ( ) . getName ( ) ) ; return false ; } return true ; } }","public class A { @ Override public boolean initMethod ( final PluginAnnotation < T > pluginAnnotation ) { LOGGER . debug ( ""Init for method "" + pluginAnnotation . getMethod ( ) ) ; ClassLoader classLoader = pluginManager . getPluginRegistry ( ) . getAppClassLoader ( pluginAnnotation . getPlugin ( ) ) ; try { registerResources ( pluginAnnotation , classLoader ) ; } catch ( IOException e ) { LOGGER . error ( ""Unable to register resources for annotation {} on method {} class {}"" , e , pluginAnnotation . getAnnotation ( ) , pluginAnnotation . getMethod ( ) . getName ( ) , pluginAnnotation . getMethod ( ) . getDeclaringClass ( ) . getName ( ) ) ; return false ; } return true ; } }","LOGGER . debug ( ""Init for method "" + pluginAnnotation . getMethod ( ) ) ;",Meaningful
"public class A { @ SuppressWarnings ( { ""rawtypes"" , ""unchecked"" } ) protected KStream < ? , ? > getKStream ( String inboundName , BindingProperties bindingProperties , KafkaStreamsConsumerProperties kafkaStreamsConsumerProperties , StreamsBuilder streamsBuilder , Serde < ? > keySerde , Serde < ? > valueSerde , Topology . AutoOffsetReset autoOffsetReset , boolean firstBuild ) { if ( firstBuild ) { addStateStoreBeans ( streamsBuilder ) ; } final boolean nativeDecoding = this . bindingServiceProperties . getConsumerProperties ( inboundName ) . isUseNativeDecoding ( ) ; if ( nativeDecoding ) { LOG . info ( ""Native decoding is enabled for "" + inboundName + "". Inbound deserialization done at the broker."" ) ; } else { LOG . info ( ""Native decoding is enabled for "" + inboundName + "". Inbound deserialization done at the broker."" ) ; } KStream < ? , ? > stream ; final Serde < ? > valueSerdeToUse = StringUtils . hasText ( kafkaStreamsConsumerProperties . getEventTypes ( ) ) ? new Serdes . BytesSerde ( ) : valueSerde ; final Consumed < ? , ? > consumed = getConsumed ( kafkaStreamsConsumerProperties , keySerde , valueSerdeToUse , autoOffsetReset ) ; if ( this . kafkaStreamsExtendedBindingProperties . getExtendedConsumerProperties ( inboundName ) . isDestinationIsPattern ( ) ) { final Pattern pattern = Pattern . compile ( this . bindingServiceProperties . getBindingDestination ( inboundName ) ) ; stream = streamsBuilder . stream ( pattern , consumed ) ; } else { String [ ] bindingTargets = StringUtils . commaDelimitedListToStringArray ( this . bindingServiceProperties . getBindingDestination ( inboundName ) ) ; stream = streamsBuilder . stream ( Arrays . asList ( bindingTargets ) , consumed ) ; } if ( StringUtils . hasText ( kafkaStreamsConsumerProperties . getEventTypes ( ) ) ) { AtomicBoolean matched = new AtomicBoolean ( ) ; stream . process ( ( ) -> eventTypeProcessor ( kafkaStreamsConsumerProperties , matched ) ) ; final KStream < ? , ? > [ ] branch = stream . branch ( ( key , value ) -> matched . getAndSet ( false ) ) ; final KStream < ? , Object > deserializedKStream = branch [ 0 ] . mapValues ( value -> valueSerde . deserializer ( ) . deserialize ( null , ( ( Bytes ) value ) . get ( ) ) ) ; return getkStream ( bindingProperties , deserializedKStream , nativeDecoding ) ; } return getkStream ( bindingProperties , stream , nativeDecoding ) ; } }","public class A { @ SuppressWarnings ( { ""rawtypes"" , ""unchecked"" } ) protected KStream < ? , ? > getKStream ( String inboundName , BindingProperties bindingProperties , KafkaStreamsConsumerProperties kafkaStreamsConsumerProperties , StreamsBuilder streamsBuilder , Serde < ? > keySerde , Serde < ? > valueSerde , Topology . AutoOffsetReset autoOffsetReset , boolean firstBuild ) { if ( firstBuild ) { addStateStoreBeans ( streamsBuilder ) ; } final boolean nativeDecoding = this . bindingServiceProperties . getConsumerProperties ( inboundName ) . isUseNativeDecoding ( ) ; if ( nativeDecoding ) { LOG . info ( ""Native decoding is enabled for "" + inboundName + "". Inbound deserialization done at the broker."" ) ; } else { LOG . info ( ""Native decoding is disabled for "" + inboundName + "". Inbound message conversion done by Spring Cloud Stream."" ) ; } KStream < ? , ? > stream ; final Serde < ? > valueSerdeToUse = StringUtils . hasText ( kafkaStreamsConsumerProperties . getEventTypes ( ) ) ? new Serdes . BytesSerde ( ) : valueSerde ; final Consumed < ? , ? > consumed = getConsumed ( kafkaStreamsConsumerProperties , keySerde , valueSerdeToUse , autoOffsetReset ) ; if ( this . kafkaStreamsExtendedBindingProperties . getExtendedConsumerProperties ( inboundName ) . isDestinationIsPattern ( ) ) { final Pattern pattern = Pattern . compile ( this . bindingServiceProperties . getBindingDestination ( inboundName ) ) ; stream = streamsBuilder . stream ( pattern , consumed ) ; } else { String [ ] bindingTargets = StringUtils . commaDelimitedListToStringArray ( this . bindingServiceProperties . getBindingDestination ( inboundName ) ) ; stream = streamsBuilder . stream ( Arrays . asList ( bindingTargets ) , consumed ) ; } if ( StringUtils . hasText ( kafkaStreamsConsumerProperties . getEventTypes ( ) ) ) { AtomicBoolean matched = new AtomicBoolean ( ) ; stream . process ( ( ) -> eventTypeProcessor ( kafkaStreamsConsumerProperties , matched ) ) ; final KStream < ? , ? > [ ] branch = stream . branch ( ( key , value ) -> matched . getAndSet ( false ) ) ; final KStream < ? , Object > deserializedKStream = branch [ 0 ] . mapValues ( value -> valueSerde . deserializer ( ) . deserialize ( null , ( ( Bytes ) value ) . get ( ) ) ) ; return getkStream ( bindingProperties , deserializedKStream , nativeDecoding ) ; } return getkStream ( bindingProperties , stream , nativeDecoding ) ; } }","LOG . info ( ""Native decoding is disabled for "" + inboundName + "". Inbound message conversion done by Spring Cloud Stream."" ) ;",Meaningful
"public class A { @ Override public final void run ( ) { this . running = true ; if ( ResourceManager . useCloud ( ) ) { try { Thread . sleep ( INITIAL_SLEEP ) ; } catch ( InterruptedException e ) { Thread . currentThread ( ) . interrupt ( ) ; } } if ( ResourceManager . useCloud ( ) ) { RUNTIME_LOGGER . info ( ""[Resource Optimizer] Checking initial creations"" ) ; initialCreations ( ) ; } while ( this . running ) { try { doOperations ( ) ; periodicRemoveObsoletes ( ) ; try { synchronized ( this ) { if ( this . running ) { this . wait ( SLEEP_TIME ) ; } } } catch ( InterruptedException ie ) { } } catch ( Exception e ) { RUNTIME_LOGGER . error ( ""[Resource Optimizer] Error while executing live cleanup"" , e ) ; } } } }","public class A { @ Override public final void run ( ) { this . running = true ; if ( ResourceManager . useCloud ( ) ) { try { Thread . sleep ( INITIAL_SLEEP ) ; } catch ( InterruptedException e ) { Thread . currentThread ( ) . interrupt ( ) ; } } if ( ResourceManager . useCloud ( ) ) { RUNTIME_LOGGER . info ( ""[Resource Optimizer] Checking initial creations"" ) ; initialCreations ( ) ; } while ( this . running ) { try { doOperations ( ) ; periodicRemoveObsoletes ( ) ; try { synchronized ( this ) { if ( this . running ) { this . wait ( SLEEP_TIME ) ; } } } catch ( InterruptedException ie ) { } } catch ( Exception e ) { RUNTIME_LOGGER . error ( ERROR_OPT_RES , e ) ; } } } }","RUNTIME_LOGGER . error ( ERROR_OPT_RES , e ) ;",Meaningful
"public class A { void unblockTo ( Address address ) { LOGGER . info ( ""Unblocking from {}"" , address ) ; LockPair lockPair = getLockPair ( address ) ; lockPair . unblockOutgoing ( ) ; } }","public class A { void unblockTo ( Address address ) { LOGGER . info ( ""Unblocked messages to "" + address ) ; LockPair lockPair = getLockPair ( address ) ; lockPair . unblockOutgoing ( ) ; } }","LOGGER . info ( ""Unblocked messages to "" + address ) ;",Meaningful
"public class A { @ Override public Node processExternalRequest ( Request request , Boolean isIpV6 ) { String headerKey = extractHeaderKey ( request ) ; Node node = null ; if ( balancerContext . regexMap != null && balancerContext . regexMap . size ( ) != 0 ) { if ( logger . isDebugEnabled ( ) ) logger . debug ( ""regexMap is not empty : "" + balancerContext . regexMap ) ; for ( Entry < String , KeySip > entry : balancerContext . regexMap . entrySet ( ) ) { Pattern r = Pattern . compile ( entry . getKey ( ) ) ; Matcher m = r . matcher ( headerKey ) ; if ( m . find ( ) ) { node = invocationContext . sipNodeMap ( isIpV6 ) . get ( entry . getValue ( ) ) ; if ( node != null ) { if ( logger . isDebugEnabled ( ) ) logger . debug ( ""Found node for pattern : "" + entry . getKey ( ) + "" and key :"" + entry . getValue ( ) ) ; return node ; } else { if ( logger . isDebugEnabled ( ) ) logger . debug ( ""Node not found in the map of nodes. It is null. For pattern: "" + entry . getKey ( ) + "" and key :"" + entry . getValue ( ) ) ; } } } } else { node = userToMap . get ( headerKey ) ; headerToTimestamps . put ( headerKey , System . currentTimeMillis ( ) ) ; } if ( node == null || invocationContext . sipNodeMap ( isIpV6 ) . get ( new KeySip ( node , isIpV6 ) ) . isGracefulShutdown ( ) ) { if ( lbConfig . getSipConfiguration ( ) . getTrafficRampupCyclePeriod ( ) != null && lbConfig . getSipConfiguration ( ) . getMaxWeightIndex ( ) != null ) node = getNextRampUpNode ( isIpV6 ) ; else node = nextAvailableNode ( isIpV6 ) ; if ( node == null ) return null ; userToMap . put ( headerKey , node ) ; if ( logger . isDebugEnabled ( ) ) { logger . debug ( ""Added new node to node set because adding it to node: "" + node ) ; } } else { if ( ! invocationContext . sipNodeMap ( isIpV6 ) . containsValue ( node ) ) { node = selectNewNode ( node , headerKey , isIpV6 ) ; } else { if ( logger . isDebugEnabled ( ) ) { logger . debug ( ""The assigned node in the affinity map is still alive: "" + node ) ; } } } return node ; } }","public class A { @ Override public Node processExternalRequest ( Request request , Boolean isIpV6 ) { String headerKey = extractHeaderKey ( request ) ; Node node = null ; if ( balancerContext . regexMap != null && balancerContext . regexMap . size ( ) != 0 ) { if ( logger . isDebugEnabled ( ) ) logger . debug ( ""regexMap is not empty : "" + balancerContext . regexMap ) ; for ( Entry < String , KeySip > entry : balancerContext . regexMap . entrySet ( ) ) { Pattern r = Pattern . compile ( entry . getKey ( ) ) ; Matcher m = r . matcher ( headerKey ) ; if ( m . find ( ) ) { node = invocationContext . sipNodeMap ( isIpV6 ) . get ( entry . getValue ( ) ) ; if ( node != null ) { if ( logger . isDebugEnabled ( ) ) logger . debug ( ""Found node for pattern : "" + entry . getKey ( ) + "" and key :"" + entry . getValue ( ) ) ; return node ; } else { if ( logger . isDebugEnabled ( ) ) logger . debug ( ""Node not found in the map of nodes. It is null. For pattern: "" + entry . getKey ( ) + "" and key :"" + entry . getValue ( ) ) ; } } } } else { node = userToMap . get ( headerKey ) ; headerToTimestamps . put ( headerKey , System . currentTimeMillis ( ) ) ; } if ( node == null || invocationContext . sipNodeMap ( isIpV6 ) . get ( new KeySip ( node , isIpV6 ) ) . isGracefulShutdown ( ) ) { if ( lbConfig . getSipConfiguration ( ) . getTrafficRampupCyclePeriod ( ) != null && lbConfig . getSipConfiguration ( ) . getMaxWeightIndex ( ) != null ) node = getNextRampUpNode ( isIpV6 ) ; else node = nextAvailableNode ( isIpV6 ) ; if ( node == null ) return null ; userToMap . put ( headerKey , node ) ; if ( logger . isDebugEnabled ( ) ) { logger . debug ( ""No node found in the affinity map. It is null. We select new node: "" + node ) ; } } else { if ( ! invocationContext . sipNodeMap ( isIpV6 ) . containsValue ( node ) ) { node = selectNewNode ( node , headerKey , isIpV6 ) ; } else { if ( logger . isDebugEnabled ( ) ) { logger . debug ( ""The assigned node in the affinity map is still alive: "" + node ) ; } } } return node ; } }","logger . debug ( ""No node found in the affinity map. It is null. We select new node: "" + node ) ;",Meaningful
"public class A { @ Override public void handle ( CloseSessionEvent event , EventProcessor proc ) throws RemoteException { if ( event . cSID != null ) { log . debug ( ""Destroying container session : "" + event . sID . getLongId ( ) ) ; int count = event . session . destroySession ( event . cSID ) ; event . status . getOperatorMeasurement ( ) . changeActiveValue ( - count ) ; } else { log . debug ( ""Destroying session session : "" + event . session . getLongId ( ) ) ; int count = event . session . destroySession ( ) ; event . status . getOperatorMeasurement ( ) . changeActiveValue ( - count ) ; } } }","public class A { @ Override public void handle ( CloseSessionEvent event , EventProcessor proc ) throws RemoteException { if ( event . cSID != null ) { log . debug ( ""Destroying container session : "" + event . sID . getLongId ( ) ) ; int count = event . session . destroySession ( event . cSID ) ; event . status . getOperatorMeasurement ( ) . changeActiveValue ( - count ) ; } else { log . debug ( ""Destroying plan session : "" + event . sID . getLongId ( ) ) ; int count = event . session . destroySession ( ) ; event . status . getOperatorMeasurement ( ) . changeActiveValue ( - count ) ; } } }","log . debug ( ""Destroying plan session : "" + event . sID . getLongId ( ) ) ;",Meaningful
"public class A { @ SuppressWarnings ( ""unchecked"" ) private SipURI outboundInterface ( ServletContext context , String transport ) { SipURI result = null ; final List < SipURI > uris = ( List < SipURI > ) context . getAttribute ( OUTBOUND_INTERFACES ) ; if ( uris != null && uris . size ( ) > 0 ) { for ( final SipURI uri : uris ) { final String interfaceTransport = uri . getTransportParam ( ) ; if ( transport . equalsIgnoreCase ( interfaceTransport ) ) { result = uri ; } } if ( logger . isInfoEnabled ( ) ) { if ( result == null ) { logger . info ( ""ServletContext return null"" ) ; } else { logger . info ( ""Outbound interface found: "" + result . toString ( ) ) ; } } } else { if ( logger . isInfoEnabled ( ) ) { logger . info ( ""ServletContext return null or empty list of connectors"" ) ; } } return result ; } }","public class A { @ SuppressWarnings ( ""unchecked"" ) private SipURI outboundInterface ( ServletContext context , String transport ) { SipURI result = null ; final List < SipURI > uris = ( List < SipURI > ) context . getAttribute ( OUTBOUND_INTERFACES ) ; if ( uris != null && uris . size ( ) > 0 ) { for ( final SipURI uri : uris ) { final String interfaceTransport = uri . getTransportParam ( ) ; if ( transport . equalsIgnoreCase ( interfaceTransport ) ) { result = uri ; } } if ( logger . isInfoEnabled ( ) ) { if ( result == null ) { logger . info ( ""Outbound interface is NULL! Looks like there was no "" + transport + "" in the list of connectors"" ) ; } else { logger . info ( ""Outbound interface found: "" + result . toString ( ) ) ; } } } else { if ( logger . isInfoEnabled ( ) ) { logger . info ( ""ServletContext return null or empty list of connectors"" ) ; } } return result ; } }","logger . info ( ""Outbound interface is NULL! Looks like there was no "" + transport + "" in the list of connectors"" ) ;",Meaningful
"public class A { @ Override public void register ( Registration registration ) { if ( StringUtils . isEmpty ( registration . getServiceId ( ) ) ) { log . warn ( ""No service to register for nacos client..."" ) ; return ; } NamingService namingService = namingService ( ) ; String serviceId = registration . getServiceId ( ) ; String group = nacosDiscoveryProperties . getGroup ( ) ; Instance instance = getNacosInstanceFromRegistration ( registration ) ; try { namingService . registerInstance ( serviceId , group , instance ) ; log . info ( ""nacos registry, {} {} {}:{} register finished"" , group , serviceId , instance . getIp ( ) , instance . getPort ( ) ) ; } catch ( Exception e ) { log . error ( ""nacos registry exception, {} {} {}:{}"" , group , serviceId , instance . getIp ( ) , instance . getPort ( ) , e ) ; rethrowRuntimeException ( e ) ; } } }","public class A { @ Override public void register ( Registration registration ) { if ( StringUtils . isEmpty ( registration . getServiceId ( ) ) ) { log . warn ( ""No service to register for nacos client..."" ) ; return ; } NamingService namingService = namingService ( ) ; String serviceId = registration . getServiceId ( ) ; String group = nacosDiscoveryProperties . getGroup ( ) ; Instance instance = getNacosInstanceFromRegistration ( registration ) ; try { namingService . registerInstance ( serviceId , group , instance ) ; log . info ( ""nacos registry, {} {} {}:{} register finished"" , group , serviceId , instance . getIp ( ) , instance . getPort ( ) ) ; } catch ( Exception e ) { log . error ( ""nacos registry, {} register failed...{},"" , serviceId , registration . toString ( ) , e ) ; rethrowRuntimeException ( e ) ; } } }","log . error ( ""nacos registry, {} register failed...{},"" , serviceId , registration . toString ( ) , e ) ;",Meaningful
"public class A { public boolean cleanupNode ( final RegionAndId regionAndId ) { String instanceId = regionAndId . id ( ) ; InstanceStatus instanceStatus = Iterables . tryFind ( api . instanceApi ( ) . listInstanceStatus ( regionAndId . regionId ( ) ) . concat ( ) , new InstanceStatusPredicate ( instanceId ) ) . orNull ( ) ; if ( instanceStatus == null ) return true ; if ( InstanceStatus . Status . STOPPED != instanceStatus . status ( ) ) { logger . debug ( "">> power off %s ..."" , instanceId ) ; api . instanceApi ( ) . powerOff ( instanceId ) ; instanceSuspendedPredicate . apply ( RegionAndId . slashEncodeRegionAndId ( regionAndId ) ) ; } logger . debug ( "">> destroying %s ..."" , RegionAndId . slashEncodeRegionAndId ( regionAndId ) ) ; api . instanceApi ( ) . delete ( instanceId ) ; return instanceTerminatedPredicate . apply ( RegionAndId . slashEncodeRegionAndId ( regionAndId ) ) ; } }","public class A { public boolean cleanupNode ( final RegionAndId regionAndId ) { String instanceId = regionAndId . id ( ) ; InstanceStatus instanceStatus = Iterables . tryFind ( api . instanceApi ( ) . listInstanceStatus ( regionAndId . regionId ( ) ) . concat ( ) , new InstanceStatusPredicate ( instanceId ) ) . orNull ( ) ; if ( instanceStatus == null ) return true ; if ( InstanceStatus . Status . STOPPED != instanceStatus . status ( ) ) { logger . debug ( "">> powering off %s ..."" , RegionAndId . slashEncodeRegionAndId ( regionAndId ) ) ; api . instanceApi ( ) . powerOff ( instanceId ) ; instanceSuspendedPredicate . apply ( RegionAndId . slashEncodeRegionAndId ( regionAndId ) ) ; } logger . debug ( "">> destroying %s ..."" , RegionAndId . slashEncodeRegionAndId ( regionAndId ) ) ; api . instanceApi ( ) . delete ( instanceId ) ; return instanceTerminatedPredicate . apply ( RegionAndId . slashEncodeRegionAndId ( regionAndId ) ) ; } }","logger . debug ( "">> powering off %s ..."" , RegionAndId . slashEncodeRegionAndId ( regionAndId ) ) ;",Meaningful
"public class A { @ Override public boolean validate ( JSONObject message ) { LOG . debug ( ""Grok parser validating message: {}"" , message ) ; Object timestampObject = message . get ( Constants . Fields . TIMESTAMP . getName ( ) ) ; if ( timestampObject instanceof Long ) { Long timestamp = ( Long ) timestampObject ; if ( timestamp > 0 ) { LOG . debug ( ""Grok parser validated message: {}"" , message ) ; return true ; } } LOG . debug ( ""Invalid timestamp field found: {}"" , timestamp ) ; return false ; } }","public class A { @ Override public boolean validate ( JSONObject message ) { LOG . debug ( ""Grok parser validating message: {}"" , message ) ; Object timestampObject = message . get ( Constants . Fields . TIMESTAMP . getName ( ) ) ; if ( timestampObject instanceof Long ) { Long timestamp = ( Long ) timestampObject ; if ( timestamp > 0 ) { LOG . debug ( ""Grok parser validated message: {}"" , message ) ; return true ; } } LOG . debug ( ""Grok parser did not validate message: {}"" , message ) ; return false ; } }","LOG . debug ( ""Grok parser did not validate message: {}"" , message ) ;",Meaningful
